ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in income (2021)
PRT,Portugal,Europe,Northern Hemisphere,Very High,,38,15.46189
PRY,Paraguay,America,Southern Hemisphere,High,LAC,105,30.441064
PSE,"Palestine, State of",Asia,Northern Hemisphere,High,AS,106,31.64
QAT,Qatar,Asia,Northern Hemisphere,Very High,AS,42,
ROU,Romania,Europe,Northern Hemisphere,Very High,,53,20.89714
RUS,Russian Federation,Europe,Northern Hemisphere,Very High,,52,17.645
RWA,Rwanda,Africa,Southern Hemisphere,Low,SSA,165,27.19248
SAU,Saudi Arabia,Asia,Northern Hemisphere,Very High,AS,35,
SDN,Sudan,Africa,Northern Hemisphere,Low,AS,172,33
SEN,Senegal,Africa,Northern Hemisphere,Low,SSA,170,23.384
SGP,Singapore,Asia,Northern Hemisphere,Very High,EAP,12,24.96040064
SLB,Solomon Islands,Oceania,Southern Hemisphere,Medium,EAP,155,
SLE,Sierra Leone,Africa,Northern Hemisphere,Low,SSA,181,19.85569
SLV,El Salvador,America,Northern Hemisphere,Medium,LAC,125,22.481244
SMR,San Marino,Europe,Northern Hemisphere,Very High,,44,
SOM,Somalia,Africa,Northern Hemisphere,,AS,,24.35
SRB,Serbia,Europe,Northern Hemisphere,Very High,ECA,63,18.49592
SSD,South Sudan,Africa,Northern Hemisphere,Low,SSA,191,32.25296
STP,Sao Tome and Principe,Africa,Northern Hemisphere,Medium,SSA,138,26.209
SUR,Suriname,America,Northern Hemisphere,High,LAC,99,46.69631
SVK,Slovakia,Europe,Northern Hemisphere,Very High,,45,9.06554
SVN,Slovenia,Europe,Northern Hemisphere,Very High,,23,8.30524
SWE,Sweden,Europe,Northern Hemisphere,Very High,,7,12.77164
SWZ,Eswatini,Africa,Southern Hemisphere,Medium,SSA,144,37.9
SYC,Seychelles,Africa,Southern Hemisphere,High,SSA,72,29.34535638
SYR,Syrian Arab Republic,Asia,Northern Hemisphere,Medium,AS,150,
TCD,Chad,Africa,Northern Hemisphere,Low,SSA,190,26.50219
TGO,Togo,Africa,Northern Hemisphere,Low,SSA,162,26.85326
THA,Thailand,Asia,Northern Hemisphere,Very High,EAP,66,18.7899
TJK,Tajikistan,Asia,Northern Hemisphere,Medium,ECA,122,14.4674
TKM,Turkmenistan,Asia,Northern Hemisphere,High,ECA,91,26.20491
TLS,Timor-Leste,Asia,Southern Hemisphere,Medium,EAP,140,13.58745
TON,Tonga,Oceania,Southern Hemisphere,High,EAP,91,18.24092
TTO,Trinidad and Tobago,America,Northern Hemisphere,Very High,LAC,57,
TUN,Tunisia,Africa,Northern Hemisphere,High,AS,97,16.88955
TUR,Turkey,Asia,Northern Hemisphere,Very High,ECA,48,23.07928288
TUV,Tuvalu,Oceania,Southern Hemisphere,Medium,EAP,130,22.94714
TZA,Tanzania,Africa,Southern Hemisphere,Low,SSA,160,22.4
UGA,Uganda,Africa,Northern Hemisphere,Low,SSA,166,24.94038796
UKR,Ukraine,Europe,Northern Hemisphere,High,ECA,77,8.524722702
URY,Uruguay,America,Southern Hemisphere,Very High,LAC,58,23.543408
USA,United States of America,America,Northern Hemisphere,Very High,,21,23.222
UZB,Uzbekistan,Asia,Northern Hemisphere,High,ECA,101,
VCT,Saint Vincent and the Grenadines,America,Northern Hemisphere,High,LAC,89,
VEN,Venezuela,America,Northern Hemisphere,Medium,LAC,120,21
VNM,Viet Nam,Asia,Northern Hemisphere,High,EAP,115,14.60094
VUT,Vanuatu,Oceania,Southern Hemisphere,Medium,EAP,140,19.68256999
WSM,Samoa,Oceania,Southern Hemisphere,High,EAP,111,21.87008
YEM,Yemen,Asia,Northern Hemisphere,Low,AS,183,21.80323
ZAF,South Africa,Africa,Southern Hemisphere,High,SSA,109,56.996
ZMB,Zambia,Africa,Southern Hemisphere,Medium,SSA,154,44.84022
ZWE,Zimbabwe,Africa,Southern Hemisphere,Medium,SSA,146,28.76901
