OBJECTID,ACCIDENT_NO,ACCIDENT_STATUS,ACCIDENT_DATE,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,LONGITUDE,LATITUDE,NODE_TYPE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME,DEG_URBAN_ALL,LGA_NAME_ALL,REGION_NAME_ALL,SRNS_ALL,RMA,RMA_ALL,STAT_DIV_NAME,Year,ALCOHOL_RELATED
3473785,T20190000330,Finished,5/1/2019,Yes,Collision with a fixed object,Saturday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,No,Not at intersection,Serious injury accident,50 km/hr,Yes,145.96659,-38.1742,Non-Intersection,BAW BAW,EASTERN REGION,3,1,0,1,0,2,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,RURAL_VICTORIA,RURAL_VICTORIA,BAW BAW,"EASTERN REGION,EASTERN REGION",,Local Road,Local Road,Country,2019,0
3473786,T20190000331,Finished,6/1/2019,No,Collision with vehicle,,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,No,Cross intersection,Other injury accident,50 km/hr,No,144.89249,-37.85632,Intersection,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,,Arterial Other,"Arterial Other,Local Road",Metro,2019,0
3473787,T20190000334,Finished,1/1/2019,Yes,Struck animal,Tuesday,STRUCK ANIMAL,No,Dark No street lights,No,Not at intersection,Serious injury accident,100 km/hr,No,144.04337,-38.08525,Non-Intersection,GOLDEN PLAINS,SOUTH WESTERN REGION,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,RURAL_VICTORIA,RURAL_VICTORIA,GOLDEN PLAINS,SOUTH WESTERN REGION,,Local Road,Local Road,Country,2019,0
3473788,T20190000335,Finished,6/1/2019,Yes,Collision with a fixed object,Sunday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dusk/Dawn,Yes,Not at intersection,Serious injury accident,100 km/hr,Yes,142.42158,-36.11026,Non-Intersection,YARRIAMBIACK,WESTERN REGION,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,YARRIAMBIACK,WESTERN REGION,B,Arterial Highway,Arterial Highway,Country,2019,0
3473789,T20190000336,Finished,6/1/2019,Yes,Collision with vehicle,Sunday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Not at intersection,Other injury accident,50 km/hr,No,145.25336,-38.03033,Non-Intersection,CASEY,METROPOLITAN SOUTH EAST REGION,2,2,0,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,CASEY,METROPOLITAN SOUTH EAST REGION,,Local Road,Local Road,Metro,2019,0
3473790,T20190000338,Finished,6/1/2019,No,Collision with a fixed object,,PERMANENT OBSTRUCTION ON CARRIAGEWAY,No,Dark Street lights on,Yes,T intersection,Serious injury accident,50 km/hr,No,144.89441,-37.84657,Intersection,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,MELB_URBAN,MELB_URBAN,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,,Local Road,Local Road,Metro,2019,0
3473791,T20190000339,Finished,7/1/2019,Yes,Vehicle overturned (no collision),Monday,OFF CARRIAGEWAY TO LEFT,No,Dark No street lights,Yes,Not at intersection,Serious injury accident,60 km/hr,Yes,143.9516,-38.55239,Non-Intersection,SURF COAST,SOUTH WESTERN REGION,2,2,0,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,SURF COAST,SOUTH WESTERN REGION,,Local Road,Local Road,Country,2019,1
3473792,T20190000346,Finished,7/1/2019,Yes,Collision with vehicle,Sunday,RIGHT THROUGH,No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,No,145.07621,-37.80258,Intersection,BOROONDARA,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,BOROONDARA,METROPOLITAN SOUTH EAST REGION,,Arterial Other,"Arterial Other,Local Road",Metro,2019,0
3473793,T20190000348,Finished,6/1/2019,Yes,Struck Pedestrian,Sunday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Day,No,T intersection,Other injury accident,60 km/hr,No,144.84702,-37.83849,Intersection,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,3,2,0,0,2,1,0,3,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,,Arterial Other,"Arterial Other,Local Road",Metro,2019,0
3473794,T20190000350,Finished,7/1/2019,No,Collision with vehicle,Monday,RIGHT THROUGH,No,Day,Yes,T intersection,Other injury accident,80 km/hr,No,145.42937,-37.83236,Intersection,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,2,2,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,C,Arterial Other,"Arterial Other,Local Road",Metro,2019,0
3473795,T20190000353,Finished,7/1/2019,No,Collision with vehicle,Monday,CUTTING IN (OVERTAKING),No,Day,Yes,Cross intersection,Other injury accident,90 km/hr,No,145.50307,-38.15602,Intersection,CARDINIA,METROPOLITAN SOUTH EAST REGION,8,1,0,0,1,7,5,3,0,6,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,CARDINIA,METROPOLITAN SOUTH EAST REGION,C,Arterial Other,"Arterial Other,Local Road",Metro,2019,0
3473796,T20190000357,Finished,7/1/2019,No,Struck Pedestrian,Monday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,Yes,Cross intersection,Serious injury accident,50 km/hr,No,145.05708,-37.88921,Intersection,GLEN EIRA,METROPOLITAN SOUTH EAST REGION,2,1,0,1,0,1,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,GLEN EIRA,METROPOLITAN SOUTH EAST REGION,,Arterial Other,"Arterial Other,Local Road",Metro,2019,0
3473797,T20190000358,Finished,7/1/2019,No,Collision with vehicle,Sunday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,80 km/hr,No,145.41639,-37.72265,Intersection,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,2,2,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,RURAL_VICTORIA,RURAL_VICTORIA,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,,Local Road,Local Road,Metro,2019,0
3473798,T20190000833,Finished,15/1/2019,No,collision with some other object,Tuesday,STRUCK OBJECT ON CARRIAGEWAY,No,Day,Yes,Not at intersection,Serious injury accident,60 km/hr,No,144.61835,-38.26629,Non-Intersection,GEELONG,SOUTH WESTERN REGION,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,RURAL_VICTORIA,RURAL_VICTORIA,GEELONG,SOUTH WESTERN REGION,B,Arterial Highway,Arterial Highway,Country,2019,0
3473799,T20190000836,Finished,15/1/2019,No,Struck Pedestrian,Tuesday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Day,Yes,Not at intersection,Serious injury accident,40 km/hr,No,145.00001,-37.73757,Intersection,DAREBIN,METROPOLITAN NORTH WEST REGION,2,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,MELB_URBAN,MELB_URBAN,DAREBIN,METROPOLITAN NORTH WEST REGION,,,,Metro,2019,0
3473800,T20190000840,Finished,15/1/2019,No,Collision with a fixed object,Tuesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,Yes,143.6263,-36.9927,Non-Intersection,CENTRAL GOLDFIELDS,WESTERN REGION,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,CENTRAL GOLDFIELDS,WESTERN REGION,C,Arterial Other,Arterial Other,Country,2019,0
3473801,T20190000847,Finished,15/1/2019,No,collision with some other object,Monday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,Yes,147.23539,-36.11438,Non-Intersection,TOWONG,NORTH EASTERN REGION,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,TOWONG,NORTH EASTERN REGION,,Local Road,Local Road,Country,2019,0
3473802,T20190000851,Finished,15/1/2019,No,Collision with vehicle,Tuesday,LANE CHANGE LEFT (NOT OVERTAKING),No,Day,Yes,Not at intersection,Serious injury accident,60 km/hr,No,145.13617,-37.83117,Non-Intersection,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,2,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,MELB_URBAN,MELB_URBAN,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,,Arterial Other,Arterial Other,Metro,2019,0
3473803,T20190000852,Finished,15/1/2019,No,Collision with vehicle,Monday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,No,145.00876,-37.76425,Intersection,DAREBIN,METROPOLITAN NORTH WEST REGION,3,2,0,0,2,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,DAREBIN,METROPOLITAN NORTH WEST REGION,,Arterial Other,"Arterial Other,Local Road",Metro,2019,0
3473804,T20190000858,Finished,15/1/2019,No,Collision with vehicle,Tuesday,HEAD ON (NOT OVERTAKING),No,Day,Yes,Not at intersection,Serious injury accident,60 km/hr,No,145.13576,-37.74085,Non-Intersection,BANYULE,METROPOLITAN NORTH WEST REGION,7,2,0,2,0,5,3,2,0,0,2,0,0,0,5,0,0,0,0,0,0,2,0,1,0,1,MELB_URBAN,MELB_URBAN,"NILLUMBIK,BANYULE",METROPOLITAN NORTH WEST REGION,,Arterial Other,Arterial Other,Metro,2019,0
3473805,T20190000861,Finished,15/1/2019,No,Collision with vehicle,Monday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,144.83304,-37.77946,Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,4,2,0,0,2,2,1,3,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,BRIMBANK,METROPOLITAN NORTH WEST REGION,,Local Road,Local Road,Metro,2019,0
3473806,T20190000862,Finished,15/1/2019,Yes,Collision with vehicle,Monday,RIGHT THROUGH,No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,No,144.97719,-37.84139,Intersection,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,,Arterial Other,"Arterial Other,Local Road",Metro,2019,0
3473807,T20190000863,Finished,15/1/2019,Yes,Struck Pedestrian,Tuesday,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,40 km/hr,No,144.9938,-37.84893,Non-Intersection,STONNINGTON,METROPOLITAN SOUTH EAST REGION,2,1,0,1,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,STONNINGTON,METROPOLITAN SOUTH EAST REGION,,Local Road,Local Road,Metro,2019,0
3473808,T20190000864,Finished,15/1/2019,Yes,Collision with vehicle,Tuesday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,144.82144,-37.76146,Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,3,3,0,0,3,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,BRIMBANK,METROPOLITAN NORTH WEST REGION,M,Freeway,"Freeway,Arterial Other",Metro,2019,0
3473809,T20190000865,Finished,15/1/2019,No,Collision with a fixed object,Tuesday,OTHER ACCIDENTS-OFF STRAIGHT NOT INCLUDED IN DCAs 170-175,No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,No,144.43742,-37.33613,Non-Intersection,MACEDON RANGES,NORTHERN REGION,3,2,0,0,2,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,MACEDON RANGES,NORTHERN REGION,C,Arterial Other,Arterial Other,Country,2019,0
3473810,T20190000867,Finished,15/1/2019,No,Collision with vehicle,Tuesday,U TURN,No,Day,No,Not at intersection,Other injury accident,Not known,No,141.78827,-37.6187,Non-Intersection,SOUTHERN GRAMPIANS,SOUTH WESTERN REGION,5,1,0,0,1,4,1,4,0,3,2,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,RURAL_VICTORIA,RURAL_VICTORIA,SOUTHERN GRAMPIANS,SOUTH WESTERN REGION,,Local Road,Local Road,Country,2019,0
3473837,T20190000359,Finished,7/1/2019,No,Collision with vehicle,Monday,RIGHT FAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,145.26507,-37.80998,Intersection,MAROONDAH,METROPOLITAN SOUTH EAST REGION,3,1,0,0,1,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,MAROONDAH,METROPOLITAN SOUTH EAST REGION,,Local Road,Local Road,Metro,2019,0
3473838,T20190000361,Finished,7/1/2019,No,Collision with vehicle,Monday,RIGHT THROUGH,No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,145.17291,-38.22338,Intersection,MORNINGTON,METROPOLITAN SOUTH EAST REGION,2,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,,,,Metro,2019,0
3473839,T20190000365,Finished,7/1/2019,No,Collision with vehicle,Monday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,No,144.30487,-36.73146,Intersection,BENDIGO,NORTHERN REGION,4,2,0,0,2,2,2,2,0,1,3,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,BENDIGO,NORTHERN REGION,"A,C",Arterial Highway,"Arterial Highway,Local Road,Arterial Other",Country,2019,0
3473840,T20190000366,Finished,7/1/2019,No,Collision with vehicle,Monday,RIGHT THROUGH,No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,145.47379,-38.07838,Intersection,CARDINIA,METROPOLITAN SOUTH EAST REGION,5,2,0,0,2,3,2,3,0,3,2,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,SMALL_CITIES,SMALL_CITIES,CARDINIA,METROPOLITAN SOUTH EAST REGION,,Local Road,Local Road,Metro,2019,0
3473841,T20190000367,Finished,7/1/2019,No,Collision with a fixed object,Monday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,Yes,142.77907,-35.99867,Non-Intersection,BULOKE,NORTHERN REGION,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,BULOKE,NORTHERN REGION,,Local Road,Local Road,Country,2019,0
3473842,T20190000368,Finished,6/1/2019,Yes,Collision with a fixed object,Sunday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,No,Not at intersection,Serious injury accident,100 km/hr,Yes,145.29647,-37.39106,Non-Intersection,MURRINDINDI,NORTH EASTERN REGION,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,RURAL_VICTORIA,RURAL_VICTORIA,"MURRINDINDI,MURRINDINDI",NORTH EASTERN REGION,,Local Road,Local Road,Country,2019,0
3473843,T20190000369,Finished,7/1/2019,No,Collision with vehicle,Monday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Not at intersection,Other injury accident,40 km/hr,No,144.93284,-37.66649,Non-Intersection,HUME,METROPOLITAN NORTH WEST REGION,5,2,0,0,2,3,2,3,0,2,3,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0,MELB_URBAN,MELB_URBAN,HUME,METROPOLITAN NORTH WEST REGION,,Local Road,Local Road,Metro,2019,0
3473846,T20190000376,Finished,2/1/2019,Yes,Collision with vehicle,Tuesday,HEAD ON (NOT OVERTAKING),No,Day,Yes,Not at intersection,Other injury accident,60 km/hr,No,144.34682,-37.55162,Non-Intersection,MOORABOOL,WESTERN REGION,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,RURAL_VICTORIA,RURAL_VICTORIA,MOORABOOL,WESTERN REGION,,Local Road,Local Road,Country,2019,0
3473847,T20190000377,Finished,7/1/2019,Yes,Collision with vehicle,Sunday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,50 km/hr,No,144.77751,-37.71659,Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,BRIMBANK,METROPOLITAN NORTH WEST REGION,,Local Road,Local Road,Metro,2019,0
3473848,T20190000379,Finished,7/1/2019,No,Vehicle overturned (no collision),Monday,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),No,Day,Yes,Not at intersection,Serious injury accident,80 km/hr,No,145.3134,-37.81903,Non-Intersection,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,MELB_URBAN,MELB_URBAN,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,,Arterial Other,Arterial Other,Metro,2019,0
3473850,T20190000383,Finished,7/1/2019,Yes,Collision with vehicle,Sunday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,144.92436,-37.62258,Intersection,HUME,METROPOLITAN NORTH WEST REGION,4,1,0,0,1,3,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,MELB_URBAN,MELB_URBAN,HUME,METROPOLITAN NORTH WEST REGION,,Local Road,Local Road,Metro,2019,0
3473851,T20190000869,Finished,15/1/2019,Yes,Collision with vehicle,Tuesday,RIGHT THROUGH,No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,No,145.07414,-37.96766,Intersection,KINGSTON,METROPOLITAN SOUTH EAST REGION,3,1,0,0,1,2,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,KINGSTON,METROPOLITAN SOUTH EAST REGION,,Arterial Highway,"Arterial Highway,Arterial Other",Metro,2019,0
3473852,T20190000870,Finished,15/1/2019,Yes,Collision with vehicle,Tuesday,RIGHT TURN SIDESWIPE,No,Day,Yes,Cross intersection,Serious injury accident,60 km/hr,No,144.94797,-37.82524,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2,1,0,1,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,Arterial Highway,"Arterial Highway,Arterial Other",Metro,2019,0
3473853,T20190000881,Finished,16/1/2019,No,Collision with vehicle,Wednesday,RIGHT THROUGH,No,Day,Yes,Cross intersection,Serious injury accident,50 km/hr,No,144.31797,-38.33787,Intersection,SURF COAST,SOUTH WESTERN REGION,2,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,SMALL_CITIES,SMALL_CITIES,SURF COAST,SOUTH WESTERN REGION,,Local Road,Local Road,Country,2019,0
3473854,T20190000882,Finished,16/1/2019,No,Collision with vehicle,Tuesday,LANE CHANGE LEFT (NOT OVERTAKING),No,Day,No,Not at intersection,Other injury accident,60 km/hr,No,144.36367,-38.15042,Intersection,GEELONG,SOUTH WESTERN REGION,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,GEELONG,SOUTH WESTERN REGION,C,Arterial Other,"Arterial Other,Local Road",Country,2019,0
3473855,T20190000886,Finished,16/1/2019,No,Collision with vehicle,Tuesday,RIGHT THROUGH,No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,No,144.94959,-37.83017,Intersection,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,,Arterial Other,"Arterial Other,Local Road",Metro,2019,0
3473856,T20190000887,Finished,16/1/2019,No,Struck Pedestrian,Tuesday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Day,Yes,Not at intersection,Serious injury accident,Not known,No,145.01161,-37.76958,Intersection,DAREBIN,METROPOLITAN NORTH WEST REGION,2,1,0,1,0,1,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,DAREBIN,METROPOLITAN NORTH WEST REGION,,Local Road,Local Road,Metro,2019,0
3473857,T20190000896,Finished,16/1/2019,No,Collision with vehicle,Wednesday,RIGHT THROUGH,No,Day,Yes,T intersection,Serious injury accident,70 km/hr,No,145.10692,-37.9568,Intersection,KINGSTON,METROPOLITAN SOUTH EAST REGION,3,2,0,2,0,1,2,1,0,1,2,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,MELB_URBAN,MELB_URBAN,KINGSTON,METROPOLITAN SOUTH EAST REGION,,Arterial Other,"Arterial Other,Local Road",Metro,2019,0
3473858,T20190000899,Finished,16/1/2019,No,Vehicle overturned (no collision),Wednesday,OFF CARRIAGEWAY ON LEFT BEND,No,Day,No,Not at intersection,Other injury accident,100 km/hr,Yes,143.70717,-37.14758,Non-Intersection,CENTRAL GOLDFIELDS,WESTERN REGION,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,CENTRAL GOLDFIELDS,WESTERN REGION,C,Arterial Other,Arterial Other,Country,2019,0
3473859,T20190000900,Finished,16/1/2019,No,Collision with vehicle,Wednesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Other injury accident,80 km/hr,Yes,145.04786,-37.95173,Non-Intersection,KINGSTON,METROPOLITAN SOUTH EAST REGION,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,MELB_URBAN,MELB_URBAN,KINGSTON,METROPOLITAN SOUTH EAST REGION,,Arterial Highway,Arterial Highway,Metro,2019,0
3473860,T20190000902,Finished,15/1/2019,No,Collision with vehicle,Monday,REAR END(VEHICLES IN SAME LANE),No,Day,No,Not at intersection,Serious injury accident,100 km/hr,No,145.38276,-38.06927,Non-Intersection,CARDINIA,METROPOLITAN SOUTH EAST REGION,2,1,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,SMALL_TOWNS,SMALL_TOWNS,CARDINIA,METROPOLITAN SOUTH EAST REGION,M,Freeway,Freeway,Metro,2019,0
3473861,T20190000904,Finished,16/1/2019,No,Collision with vehicle,Wednesday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,145.15444,-37.84535,Non-Intersection,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,3,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0,MELB_URBAN,MELB_URBAN,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,,Arterial Other,Arterial Other,Metro,2019,0
3473862,T20190000905,Finished,16/1/2019,No,Collision with vehicle,Tuesday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Not at intersection,Other injury accident,80 km/hr,No,144.93909,-37.82548,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,6,2,0,0,2,4,5,1,0,1,5,0,0,0,0,0,0,0,0,1,0,5,0,5,0,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,M,Freeway,Freeway,Metro,2019,0
3473863,T20190000906,Finished,12/1/2019,No,Collision with a fixed object,Saturday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Day,No,T intersection,Serious injury accident,80 km/hr,Yes,145.3316,-36.48476,Intersection,SHEPPARTON,NORTH EASTERN REGION,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,RURAL_VICTORIA,RURAL_VICTORIA,SHEPPARTON,NORTH EASTERN REGION,,Local Road,Local Road,Country,2019,0
3473890,T20190000384,Finished,7/1/2019,No,Collision with vehicle,Monday,U TURN,No,Day,No,Not at intersection,Other injury accident,100 km/hr,No,143.9307,-38.47751,Non-Intersection,SURF COAST,SOUTH WESTERN REGION,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,SURF COAST,SOUTH WESTERN REGION,C,Arterial Other,Arterial Other,Country,2019,0
3473892,T20190000387,Finished,7/1/2019,Yes,Collision with vehicle,Monday,RIGHT THROUGH,No,Dark Street lights on,Yes,Cross intersection,Other injury accident,70 km/hr,No,145.14373,-37.78701,Intersection,MANNINGHAM,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,1,1,0,MELB_URBAN,MELB_URBAN,MANNINGHAM,METROPOLITAN SOUTH EAST REGION,,Arterial Other,Arterial Other,Metro,2019,0
