OBJECTID,ACCIDENT_NO,ACCIDENT_STATUS,ACCIDENT_DATE,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,LONGITUDE,LATITUDE,NODE_TYPE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME,DEG_URBAN_ALL,LGA_NAME_ALL,REGION_NAME_ALL,SRNS_ALL,RMA,RMA_ALL,STAT_DIV_NAME,Year,ALCOHOL_RELATED
3475703,T20190004351,Finished,6/3/2019,No,Collision with vehicle,Tuesday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,No,144.55021,-38.18485,Intersection,GEELONG,SOUTH WESTERN REGION,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,GEELONG,SOUTH WESTERN REGION,C,Arterial Other,"Arterial Other,Local Road",Country,2019,0
3475704,T20190004354,Finished,3/3/2019,No,Collision with a fixed object,,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,Yes,145.7515,-37.47974,Non-Intersection,MURRINDINDI,NORTH EASTERN REGION,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,"MURRINDINDI,MURRINDINDI",NORTH EASTERN REGION,C,Arterial Other,Arterial Other,Country,2019,0
3475705,T20190004359,Finished,6/3/2019,No,Collision with vehicle,Tuesday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,T intersection,Other injury accident,80 km/hr,No,145.06811,-37.97847,Non-Intersection,KINGSTON,METROPOLITAN SOUTH EAST REGION,4,1,0,0,1,3,0,3,0,1,3,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0,MELB_URBAN,MELB_URBAN,KINGSTON,METROPOLITAN SOUTH EAST REGION,,Arterial Highway,Arterial Highway,Metro,2019,0
3475706,T20190004361,Finished,6/3/2019,No,Struck Pedestrian,Tuesday,VEH STRIKES PED ON FOOTPATH/MEDIAN/TRAFFIC ISLAND.,No,Day,No,Not at intersection,Serious injury accident,40 km/hr,No,145.34731,-38.03006,Non-Intersection,CASEY,METROPOLITAN SOUTH EAST REGION,2,1,0,1,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,CASEY,METROPOLITAN SOUTH EAST REGION,,Local Road,Local Road,Metro,2019,0
3475707,T20190004370,Finished,6/3/2019,Yes,Collision with a fixed object,Tuesday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,Not at intersection,Other injury accident,80 km/hr,Yes,145.40466,-37.80712,Non-Intersection,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,C,Arterial Other,Arterial Other,Metro,2019,0
3475708,T20190004373,Finished,6/3/2019,No,Collision with a fixed object,Tuesday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,Not at intersection,Other injury accident,60 km/hr,Yes,145.37163,-37.80979,Non-Intersection,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,C,Arterial Other,Arterial Other,Metro,2019,0
3475709,T20190004374,Finished,7/3/2019,Yes,Collision with vehicle,Wednesday,LANE CHANGE LEFT (NOT OVERTAKING),No,Dark Street lights unknown,Yes,Not at intersection,Other injury accident,100 km/hr,No,144.98953,-37.65429,Non-Intersection,WHITTLESEA,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,MELB_URBAN,MELB_URBAN,WHITTLESEA,METROPOLITAN NORTH WEST REGION,M,Freeway,Freeway,Metro,2019,0
3475710,T20190004381,Finished,7/3/2019,No,Collision with vehicle,Wednesday,LEFT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,40 km/hr,No,144.84946,-37.77922,Intersection,MARIBYRNONG,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,MARIBYRNONG,METROPOLITAN NORTH WEST REGION,,Arterial Other,"Arterial Other,Local Road",Metro,2019,0
3475711,T20190004383,Finished,3/3/2019,No,Collision with vehicle,,RIGHT REAR.,No,Day,No,Not at intersection,Other injury accident,60 km/hr,No,145.02881,-38.22674,Non-Intersection,MORNINGTON,METROPOLITAN SOUTH EAST REGION,5,2,0,0,2,3,3,2,0,3,2,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,C,Arterial Other,Arterial Other,Metro,2019,0
3475712,T20190004384,Finished,7/3/2019,No,Collision with vehicle,Wednesday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dark No street lights,Yes,Cross intersection,Other injury accident,60 km/hr,No,145.0803,-37.81832,Intersection,BOROONDARA,METROPOLITAN SOUTH EAST REGION,3,1,0,0,1,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,BOROONDARA,METROPOLITAN SOUTH EAST REGION,,Arterial Other,"Arterial Other,Local Road",Metro,2019,0
